,text_a,text_b,scores
105,Which plate is the door key in?,Number of keys and models that can be added,5
106,Why can't I swipe the bus card bound to my phone?,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
107,Can I move the card for the Yangcheng Pass?,Migrating Huawei Pay Transportation Cards,5
108,Can the original physical card still be used after suction?,Usage of the original physical card after the Huawei Pay transportation card is sucked,5
109,Which cities does the transportation card support?,Which cities does the transportation card support?,5
110,Is it because the Huawei P9 does not support the NFC function that I cannot select Huawei Pay as the payment method in NetEase Select?,Huawei Pay is not displayed on the third-party app payment screen.,5
111,What if I forget my Huawei Pay payment password and security question?,Method of retrieving the payment password,5
112,Why can't I find the key to my phone?,Number of keys and models that can be added,5
113,The NetEase koala fails to pay for Huawei.,Huawei Pay is not displayed on the third-party app payment screen.,5
114,How do I enable Cloud Flash Payment?,Does my phone or wearable device support bank cards (cloud flash payment) or transportation cards?,5
115,Why can't I add an access card to my Honor View 10?,Solution to the Problem that the Card Does Not Respond When the Key Is Added,5
116,How do I add a transportation card?,Add a transportation card to the Huawei Pay.,5
117,Why can't I see the eid function in my wallet?,Why Cannot I See the eID Entry?,5
118,Why can't I add a door key to the P9 or Nova 4?,Number of keys and models that can be added,5
119,Why does Huawei Pay always fail to add ICBC bank cards?,Failed to Add a Bank Card,5
120,Cancel Alipay Association,Unbind payment code (Alipay),5
121,"Take the subway, 15 bucks.",Unreasonable deduction from Huawei Pay,5
122,"The money in the bus card is not used up, can you refund when deleting the card?",Refund the balance of the deleted transportation card in the Huawei Pay.,5
123,Yunqiao can only bind one person's bank card?,Models that support Huawei Pay bank cards and the number of supported cards,5
124,Forgot Payment Password,Method of retrieving the payment password,5
125,Why is 45 only 20?,Service Fees for Opening and Deleting Transportation Cards,5
126,Can I swipe my mobile phone to take a bus or subway after I bind a bank card to my wallet?,Method of Using Bank Card to Swipe Bus and Metro,5
127,Why can't I add a SIM card for Mate 8?,Models that support transportation cards and the number of supported cards,5
128,Which models support the eID function?,Which models support the eID function?,5
129,Can we change the security question?,Method of resetting the security question,5
130,Can I clone bank cards together with my phone?,Can I clone a bank card to a wallet using Long Hua?,5
131,"Eid ID card entered, Internet cafes can be used?",Which of the following scenarios can eID be used in?,5
132,How do I query the reserved number of a bus card?,Customer service hotline of each transportation card company,5
133,Why is it still 50 bucks?,Problem Set for the Activity of Subtracting 10 from 50 After Recharge,5
134,How do I use Huawei Pay to pay for Taobao?,Using Huawei Pay Bank Cards for Online Payment,5
135,What models of phones can be paid on WeChat with fingerprints?,What is the relationship between the screen unlock fingerprint and the quick payment fingerprint?,5
136,How do I delete a bus card?,Refund the balance of the deleted transportation card in the Huawei Pay.,5
137,I didn't add a card.,What can I do if I cannot see the entrance for adding Huawei Pay traffic cards?,5
138,Then why not?,salutes,5
139,Which Huawei phones support bus cards?,Models that support transportation cards and the number of supported cards,5
140,"Hello, I used to have a Tianjin all-in-one card in my wallet, but my phone was severely damaged and could not be powered on. Now, how do I delete the previous card in another Huawei wallet?","How do I delete my bank card, transportation card, eID, or door key if I have lost my phone or my phone is not repaired, sold, or replaced by a Huawei Customer Service Center?",5
141,What should I do if a bank card is deducted by several cents?,What can I do if a bank card is deducted for a few cents?,5
142,Canceling video renewal,How Do I Disable the Auto-Renew Service?,5
143,Upgrading (Migrating) Shanghai Public Transport Card,Upgrading (Migrating) Shanghai Public Transport Card,5
144,I've got 50 bucks. Why don't you take 10 bucks off it?,Problem Set for the Activity of Subtracting 10 from 50 After Recharge,5
145,Where can I view the default card?,Huawei Pay Default Card Setting,5
146,Can I Unbind the Previous eID After Changing My Phone?,"How do I delete my bank card, transportation card, eID, or door key if I have lost my phone or my phone is not repaired, sold, or replaced by a Huawei Customer Service Center?",5
147,Why can't I swipe my transportation card?,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
148,What can I do if I forget my security question and payment password?,Method of retrieving the payment password,5
149,I forgot my wallet. How do I get my password back?,Method of retrieving the payment password,5
150,Why can't my Huawei Pay use the door key function?,Number of keys and models that can be added,5
151,Deregistering Real-Name Authentication for Strangers,Method of Deregistering Real-Name Authentication (Non-Authentication) on Huawei Pay,5
152,"I registered an account on Huawei Vmall several years ago, but I haven't logged in for several years. I even forgot my password. Can I still use this account?",Forgot your Huawei ID password,5
153,How to Open a Door with a Key,Why can't I open the door if the key is added successfully?,5
154,Why can't I identify the QR code for mobile payment?,Why can't I open the QR code of UnionPay after I clone my phone?,5
155,Does my phone support bus cards?,Models that support transportation cards and the number of supported cards,5
156,"Hello, are you there?",salutes,5
157,Does my nova 2i support the transportation card function?,Models that support transportation cards and the number of supported cards,5
158,Why do you keep recommending me to use Huawei Pay?,The Huawei Pay card swiping page is automatically displayed.,5
159,How do I add a quick payment bank card?,Adding a Quick Payment Bank Card,5
160,How to swipe a bank card to take a bus or subway?,Method of Using Bank Card to Swipe Bus and Metro,5
161,All-in-one card of Tianjin Communications,Which cities does the transportation card support?,5
162,How do I use H-coins?,What are H-coins and H-coins cards?,5
163,Anybody?,salutes,5
164,"I quit the payment during the event, but I participated in it again. Is there any discount?","After a subscriber binds a card for the first time, the subscriber participates in the mobile phone top-up activity. If the subscriber exits the order before the final payment is complete, can the subscriber still enjoy the preference when the subscriber participates in the activity again?",5
165,I can't copy my alien access card. My phone's not responding.,Solution to the Problem that the Card Does Not Respond When the Key Is Added,5
166,Can payment codes be unbound in Huawei Pay?,Unbind payment code (Alipay),5
167,How can I change the password of my mobile phone account?,Forgot your Huawei ID password,5
168,Why does the Huawei P20 fail to bind a bank card?,Failed to Add a Bank Card,5
169,Why does the Huawei Pay pop up?,The Huawei Pay card swiping page is automatically displayed.,5
170,The bank card cannot be added to the huaweipay.,Failed to Add a Bank Card,5
171,The entrance to the door key is not found on the home page.,Viewing/Deleting a Door Key,5
172,No transport cards far,Which cities does the transportation card support?,5
173,Why isn't there a key in the bag?,Number of keys and models that can be added,5
174,How can I retrieve my payment password?,Method of retrieving the payment password,5
175,Where can the eID function be used?,Which of the following scenarios can eID be used in?,5
176,In the kitchen?,salutes,5
177,Cancel Traffic,Can I cancel the activity of deducting traffic when my mobile phone account is used up?,5
178,Card Surface Problem,FAQs About Personalized Traffic Cards,5
179,How do you read my key messages?,Viewing/Deleting a Door Key,5
180,The wallet is not displayed for third-party payment.,Huawei Pay is not displayed on the third-party app payment screen.,5
181,Ant borrowed it. Why didn't you find it?,"Huawei Pay, no ants.",5
182,"Shanghai public transport card can not recharge today, how is it?",How to Handle the Failure to Recharge the Transportation Card,5
183,Why can't I get my electronic ID on my phone?,Added the requirements for the model and wallet version of the electronic certificate photo.,5
184,Why is the balance on my bus card insufficient when I swipe it?,Beijing-Tianjin-Hebei Interconnection Card Swiping Preference and Balance Limit,5
185,Can I keep the incentive money after the order is canceled?,How to handle the incentive after order cancellation or goods return?,5
186,I've forgotten my password and my email. How can I log in to my account?,How can I submit a self-service complaint using my Huawei ID?,5
187,How to get the incentive?,How to get an incentive payment after participating in an incentive activity,5
188,Why can't I find the key in my wallet?,Number of keys and models that can be added,5
189,May I ask why it's not shown on the cluster?,Huawei Pay is not displayed on the third-party app payment screen.,5
190,How do I cancel quick payment?,Method of Removing Bank Card from Online Payment,5
191,How do I use the invoice function?,Method of Using the Invoice Function,5
192,Relationship Between Huawei ID and Vmall Real-Name Authentication,Relationship Between Huawei ID and Vmall Real-Name Authentication,5
193,How to participate in the event,How to Participate in the Mobile Phone Recharge Balance Deduction Campaign,5
194,When will the all-in-one card of Hefei Transportation be launched?,Which cities does the transportation card support?,5
195,Which of the following cities are supported by the Beijing-Tianjin-Wingyi interconnection card?,Which cities does the transportation card support?,5
196,Can I add a bus card to my phone?,Does my phone or wearable device support bank cards (cloud flash payment) or transportation cards?,5
197,I want to create an eID.,Method of Enabling the eID Service,5
198,Can I make a payment when the screen is locked?,How to use Huawei Pay bank card to make payment on POS machine,5
199,Incomplete traffic card consumption records and fee deduction without authorization,Repeated Fee Deduction for Huawei Pay Traffic Card Swiping,5
200,Why does the screen display Huawei Pay when I open it? I don't want to use it. I didn't see it popping up in the last few days.,The Huawei Pay card swiping page is automatically displayed.,5
201,How to Issue an Invoice for a Transportation Card,Obtain the top-up invoice of the Huawei Pay transportation card.,5
202,There's no key option in the wallet.,Number of keys and models that can be added,5
203,Can I add a Shanghai bus card?,Which cities does the transportation card support?,5
204,The security password cannot be set.,Changing the Payment Password,5
205,Shanghai Public Transport Card Does Not Display Previous Transaction Records,"What Can I Do If Transaction Records of Shanghai Public Transport Cards (Shanghai Sales Cards) Subscribed Before March 1, 2019 Are Not Displayed?",5
206,Does the Nova 5i support public transportation payment?,Models that support transportation cards and the number of supported cards,5
207,Submitting Logs,Submitting Huawei Pay Logs,5
208,Can minor open electronic identity card?,Method of Enabling the eID Service,5
209,Where can I use a bank card to take a bus or subway?,Where can I use a bank card to take a bus or subway?,5
210,"I'll unlock the door, swipe the machine, and I'll lose my key card.",The card/bank card in your wallet has disappeared,5
211,How many access cards can be added?,Number of keys and models that can be added,5
212,Failed to swipe the SPD Bank credit card.,What can I do if my phone does not respond when I swipe a bank card?,5
213,Alipay payment code,How do I enable Alipay payment code?,5
214,How to Add a Harbin Physical Card to the Huawei Pay,Can I add a physical transportation card to the Huawei Pay?,5
215,Why do I fail to add a bank card?,Failed to Add a Bank Card,5
216,"Uncompleted orders, re-participation, and discounts are not available.","After a subscriber binds a card for the first time, the subscriber participates in the mobile phone top-up activity. If the subscriber exits the order before the final payment is complete, can the subscriber still enjoy the preference when the subscriber participates in the activity again?",5
217,How do I delete a door card?,Viewing/Deleting a Door Key,5
218,What is the full name of eID?,What Is eID?,5
219,There's no traffic card in the bag.,What can I do if I cannot see the entrance for adding Huawei Pay traffic cards?,5
220,Why can't Hefei Tong open it?,Models that support transportation cards and the number of supported cards,5
221,You can't open the door by reading the key card.,Why can't I open the door if the key is added successfully?,5
222,Can I use my mobile phone to activate a card?,Models that support transportation cards and the number of supported cards,5
223,Why doesn't my phone have a door key?,Number of keys and models that can be added,5
224,Why is the QR code automatically displayed every time I open my wallet?,The Huawei Pay card swiping page is automatically displayed.,5
225,The Huawei Pay message is displayed each time the phone is powered on. How do I cancel?,The Huawei Pay card swiping page is automatically displayed.,5
226,How do I add the door key function on Mate 8?,Adding a Door Key,5
227,How do I get the invoice from the Bank of Communications?,How to Obtain the Recharge Invoice of the Mobile Phone Recharge Balance Deduction Activity,5
228,"Jinan a penny to do bus, Huawei Pay, prompt invalid.","Details of 1 cent/5 discount bus - Shenzhen, Beijing, Tianjin, Hangzhou, Lanzhou, Chongqing, Kunming, Jinan",5
229,Failed to download the EID.,The eID displays a message indicating that the download fails.,5
230,How to apply for a Postal Savings Bank of China bank card,Banks applying for credit card support,5
231,Why do some models not support the wallet analog access card?,Number of keys and models that can be added,5
232,How do I use my bank card to take a bus?,Use the bank card to pay for the bus and subway.,5
233,Why can't I add Tianfutong to my Mate 10 Pro wallet?,Tianfutong cannot be added to the Huawei Pay.,5
234,"Hello, can you tell me where to issue the invoice after I recharge my account?",Obtain the top-up invoice of the Huawei Pay transportation card.,5
235,The key is used in the hotel.,What is a smart hotel room card?,5
236,Do I have a transit card that I can add to my phone?,Which Transportation Cards Support Vacuum Cards?,5
237,How Do I Handle the Problem that the Transaction Records of the Enabled Shanghai Sales Card Are Not Displayed?,"What Can I Do If Transaction Records of Shanghai Public Transport Cards (Shanghai Sales Cards) Subscribed Before March 1, 2019 Are Not Displayed?",5
238,Beijing-Tianjin-Hebei Bus Card,"How to open Beijing, Tianjin and Hebei interconnection card?",5
239,Why does my wallet always pop up?,The Huawei Pay card swiping page is automatically displayed.,5
240,"A subscriber participates in the recharge activity and recharges the mobile phone, but the recharge amount is not received.",How to check whether the account balance is received after a subscriber recharges the account?,5
241,A SIM card can be added to one phone and the other one can be displayed on the other phone.,Failed to Add a Bank Card,5
242,You've changed your phone. Do you want to re-register your SIM card?,"Use another mobile phone or account, and then re-subscribe to the transportation card.",5
243,Where is the eID entrance?,Why Cannot I See the eID Entry?,5
244,Access card icon,Number of keys and models that can be added,5
245,Why do I have to open the band again after I open a SIM card on my phone?,"Can my Huawei phone, watch, and band share a transportation card?",5
246,Why does the Huawei Pay pop up automatically when I open my phone?,The Huawei Pay card swiping page is automatically displayed.,5
247,"Excuse me, I used Huawei Pay, and then the status bar on a Huawei Pay to pay for my icon, and then has been deleted, restart the computer is also useless, how can I get it off?",The Huawei Pay card swiping page is automatically displayed.,5
248,Why can't I clone my phone when my Long Hua is my wallet?,Why can't I clone my phone when my Long Hua is my wallet?,5
249,The transportation card cannot be found.,Huawei Pay The transportation card cannot be found in the account.,5
250,Why cann't my Huawei Pay add the transportation card?,What can I do if I cannot see the entrance for adding Huawei Pay traffic cards?,5
251,The card opening fee is not refunded.,Shanghai Public Transport Card Time-Limited Free-of-Charge Activities,5
252,How do I swipe my bus card?,A Method of Using Huawei Pay Traffic Card to Swipe the Consumption Quickly,5
253,Why isn't there a traffic car in Chang'antong?,Which cities does the transportation card support?,5
254,How does Yang Chengtong delete a card?,Method of Refunding Balance of Yangcheng Pass Card,5
255,"Hi, I can't swipe my bus card.",Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
256,"I use the wallet to swipe the card on the bus, deduct money every time three yuan four yuan of buckle, how to return a responsibility?",Repeated Fee Deduction for Huawei Pay Traffic Card Swiping,5
257,Forgetting Security Questions,Method of resetting the security question,5
258,What can I do if I forgot to move my SIM card after changing my phone?,Can I change my mobile phone to another one?,5
259,Transfer-in and transfer-out of transportation cards,Migrating Huawei Pay Transportation Cards,5
260,Can I add only 4 credit cards?,Models that support Huawei Pay bank cards and the number of supported cards,5
261,Beijing bus brush not on the brush,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
262,What is borrowing money?,"What is ""borrowing money""?",5
263,How to migrate traffic cards?,Introduction to Traffic Card Migration,5
264,What can I do if facial recognition is unavailable when I swipe a card on my Mate 20?,What can I do if I can't use face verification when swiping my bank card after updating my Mate 20 Pro?,5
265,Why didn't you turn 30?,Rebate CNY30 for CNY60 or above in specific Huawei stores,5
266,I don't know how to use it. Why do I have to pay $12 a month?,Unreasonable deduction from Huawei Pay,5
267,The mobile phone recharge fails in the recharge activity. Solve the problem.,Why does the mobile phone fail to be recharged when I participate in the mobile phone balance reduction activity?,5
268,Alipay association failed.,How do I enable Alipay payment code?,5
269,"How to use a wallet, bank card, and POS machine to pay?",How to use Huawei Pay bank card to make payment on POS machine,5
270,Where is the NFC of Changxiang 8?,Models that support transportation cards and the number of supported cards,5
271,Those cell phones can give you a key to the door.,Number of keys and models that can be added,5
272,Where can I add a bus card to my Huawei phone?,Add a transportation card to the Huawei Pay.,5
273,Removing a bank card,Method of Removing a Bank Card,5
274,Reasons for security chip exceptions are displayed.,What can I do if the security chip is abnormal when I add a bank card to the Honor 8?,5
275,"When the card swiping is successful, the card swiper on the bus does not play any sound.",How to Deal with the Failure of Using Bank Card to Swipe Bus and Subway,5
276,How to submit remote logs?,Submitting Remote Logs,5
277,Where can I find an ant?,"Huawei Pay, no ants.",5
278,"Hello, may I speak to you?",salutes,5
279,Which financial institutions support institutions that can borrow money?,"... financial institutions that support ""borrowing"".",5
280,How do I recharge my H-coin card?,How do I recharge my H-coins card purchased from Vmall?,5
281,Which bank cards can be added to the wallet?,Which Bank Cards Can Be Added?,5
282,Does Nova 5 have a door key?,Number of keys and models that can be added,5
283,Failed to download the security component.,Failed to Add a Bank Card,5
284,"Hello, I can't see my traffic card.",Models that support transportation cards and the number of supported cards,5
285,How do I disable the Alipay payment code?,Unbind payment code (Alipay),5
286,Copy the keys. The phone doesn't respond when you click on it.,Solution to the Problem that the Card Does Not Respond When the Key Is Added,5
287,Unbind from Alipay,Unbind payment code (Alipay),5
288,Password-free payment,Does Huawei Pay support password-free payment for small-amount bank cards? How to Set,5
289,Huawei Pay always starts itself.,The Huawei Pay card swiping page is automatically displayed.,5
290,How Do I Register a New Card?,What can I do if I can't log in with my Huawei ID?,5
291,What about the access card option?,Number of keys and models that can be added,5
292,"However, the deduction information after the outbound is not displayed.",What can I do if the transaction records are not displayed when I use Huawei Pay to swipe my bank card?,5
293,Can I use my phone for Huawei Pay?,Models that support Huawei Pay bank cards and the number of supported cards,5
294,Can I use it on Toronto?,Which cities does the transportation card support?,5
295,Does the nova 2i support bus cards?,Does my phone or wearable device support bank cards (cloud flash payment) or transportation cards?,5
296,Wuxi transportation card can not use how to refund card opening fee?,Service Fees for Opening and Deleting Transportation Cards,5
297,Hi. You can't swipe the door.,Why can't I open the door if the key is added successfully?,5
298,How do I use H-coins?,What are H-coins and H-coins cards?,5
299,What problem does the traffic card recharge not come all the time?,How to Handle the Failure to Recharge the Transportation Card,5
300,How do I recharge my H-coin card purchased from Vmall?,How do I recharge my H-coins card purchased from Vmall?,5
301,A phone that can suck cards,Which phones support smart card suction?,5
302,The amount of the all-in-one card issued by Jiangsu Communication is only 100.,The amount of the all-in-one card issued by Jiangsu Communication is only 100.,5
303,Where's the door key page?,Viewing/Deleting a Door Key,5
304,Nobody's talking.,salutes,5
305,Why can't I wake up the screen by double pressing the power button?,"After the system version is updated to EMUI 9.1.X, the wallet cannot be opened by double pressing the power button when NFC is disabled.",5
306,Can I add an electronic photo to my phone?,Added the requirements for the model and wallet version of the electronic certificate photo.,5
307,Can I apply for another quick payment account if I have already used one?,Models that support Huawei Pay bank cards and the number of supported cards,5
308,What can I do if I cannot see the entrance for adding Huawei Pay traffic cards?,What can I do if I cannot see the entrance for adding Huawei Pay traffic cards?,5
309,What are the changes of the traffic card after the update?,Will the card number change after the update? How do I handle the transaction records and accumulated preferences of the original card?,5
310,Can I use the key to the door of the Honor 8X?,Number of keys and models that can be added,5
311,The password cannot be set.,Method of retrieving the payment password,5
312,I cann't take the subway after I bind my Bank of Shanghai card.,How to Deal with the Failure of Using Bank Card to Swipe Bus and Subway,5
313,Where can I recharge my H-coin card?,How do I recharge my account with a H-coin card?,5
314,Does Huawei Nova 5i Support Door Keys?,Number of keys and models that can be added,5
315,"Customer service: The main board of my previous Huawei phone is damaged, so the bank card and Jilin Tong car card cannot be imported to the new phone. What can I do?",How to deal with the bound bank card after the mobile phone is repaired or returned or replaced?,5
316,Hello.,salutes,5
317,The bus card disappeared a few minutes after the change of hand.,What can I do if the card on my old phone is replaced with a new one?,5
318,Simulated access card. Simulation failed.,Solution to the Problem that the Card Does Not Respond When the Key Is Added,5
319,Do not swipe the transportation card when getting off the bus,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
320,What can I do if I forget my password and my SIM card is also deregistered?,How can I submit a self-service complaint using my Huawei ID?,5
321,Account protection,Benefits of enabling Huawei ID protection,5
322,How do I unbind an Alipay account?,Unbind payment code (Alipay),5
